 SALE PRICE ,BUILDING CLASS CATEGORY
"3,122,000",04  TAX CLASS 1 CONDOS                      
"789,143",04  TAX CLASS 1 CONDOS                      
 .   ,13  CONDOS . ELEVATOR APARTMENTS            
"821,640",13  CONDOS . ELEVATOR APARTMENTS            
"773,870",13  CONDOS . ELEVATOR APARTMENTS            
"763,830",13  CONDOS . ELEVATOR APARTMENTS            
"821,640",13  CONDOS . ELEVATOR APARTMENTS            
"821,640",13  CONDOS . ELEVATOR APARTMENTS            
"763,830",13  CONDOS . ELEVATOR APARTMENTS            
"721,640",13  CONDOS . ELEVATOR APARTMENTS            
"664,281",13  CONDOS . ELEVATOR APARTMENTS            
"847,710",13  CONDOS . ELEVATOR APARTMENTS            
"578,920",13  CONDOS . ELEVATOR APARTMENTS            
"563,601",13  CONDOS . ELEVATOR APARTMENTS            
"589,485",13  CONDOS . ELEVATOR APARTMENTS            
"553,500",13  CONDOS . ELEVATOR APARTMENTS            
"553,500",13  CONDOS . ELEVATOR APARTMENTS            
"476,000",13  CONDOS . ELEVATOR APARTMENTS            
"730,120",13  CONDOS . ELEVATOR APARTMENTS            
"736,360",13  CONDOS . ELEVATOR APARTMENTS            
"730,210",13  CONDOS . ELEVATOR APARTMENTS            
"736,360",13  CONDOS . ELEVATOR APARTMENTS            
"736,360",13  CONDOS . ELEVATOR APARTMENTS            
"577,690",13  CONDOS . ELEVATOR APARTMENTS            
"736,360",13  CONDOS . ELEVATOR APARTMENTS            
"743,536",13  CONDOS . ELEVATOR APARTMENTS            
"577,690",13  CONDOS . ELEVATOR APARTMENTS            
 .   ,13  CONDOS . ELEVATOR APARTMENTS            
 .   ,13  CONDOS . ELEVATOR APARTMENTS            
"746,853",13  CONDOS . ELEVATOR APARTMENTS            
"525,000",13  CONDOS . ELEVATOR APARTMENTS            
"1,448,461",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"621,257",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"403,697",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"314,340",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"388,487",15  CONDOS . 2.10 UNIT RESIDENTIAL          
"342,732",15  CONDOS . 2.10 UNIT RESIDENTIAL          
 .   ,01  ONE FAMILY DWELLINGS                    
"829,000",01  ONE FAMILY DWELLINGS                    
"790,000",01  ONE FAMILY DWELLINGS                    
"788,000",01  ONE FAMILY DWELLINGS                    
"1,090,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"920,000",01  ONE FAMILY DWELLINGS                    
"40,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"839,000",01  ONE FAMILY DWELLINGS                    
"854,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"750,000",01  ONE FAMILY DWELLINGS                    
"699,000",01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
"699,000",01  ONE FAMILY DWELLINGS                    
"1,050,000",01  ONE FAMILY DWELLINGS                    
"738,000",01  ONE FAMILY DWELLINGS                    
"680,000",01  ONE FAMILY DWELLINGS                    
"638,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"880,000",01  ONE FAMILY DWELLINGS                    
"829,000",01  ONE FAMILY DWELLINGS                    
"880,000",01  ONE FAMILY DWELLINGS                    
"950,000",01  ONE FAMILY DWELLINGS                    
"930,000",01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
 .   ,01  ONE FAMILY DWELLINGS                    
"700,000",01  ONE FAMILY DWELLINGS                    
"670,000",01  ONE FAMILY DWELLINGS                    
10,01  ONE FAMILY DWELLINGS                    
"920,000",01  ONE FAMILY DWELLINGS                    
"1,150,000",02  TWO FAMILY DWELLINGS                    
"1,113,750",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"452,500",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"100,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"999,000",02  TWO FAMILY DWELLINGS                    
"1,150,000",02  TWO FAMILY DWELLINGS                    
"850,000",02  TWO FAMILY DWELLINGS                    
"720,000",02  TWO FAMILY DWELLINGS                    
"740,000",02  TWO FAMILY DWELLINGS                    
"868,600",02  TWO FAMILY DWELLINGS                    
"928,000",02  TWO FAMILY DWELLINGS                    
1,02  TWO FAMILY DWELLINGS                    
"480,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"880,000",02  TWO FAMILY DWELLINGS                    
"1,120,075",02  TWO FAMILY DWELLINGS                    
"825,000",02  TWO FAMILY DWELLINGS                    
"800,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,350,000",02  TWO FAMILY DWELLINGS                    
"1,480,000",02  TWO FAMILY DWELLINGS                    
"714,750",02  TWO FAMILY DWELLINGS                    
"1,900,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"25,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"842,088",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,030,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"700,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,300,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"1,400,000",02  TWO FAMILY DWELLINGS                    
 .   ,02  TWO FAMILY DWELLINGS                    
"988,000",02  TWO FAMILY DWELLINGS                    
